Occupation_Name,Recent_Labour_Market_Conditions
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",BALANCE
"Contractors and supervisors, electrical trades and telecommunications occupations",BALANCE
"Contractors and supervisors, pipefitting trades",BALANCE
"Contractors and supervisors, carpentry trades",BALANCE
"Contractors and supervisors, other construction trades, installers, repairers and servicers",BALANCE
Machinists and machining and tooling inspectors & Tool and die makers,BALANCE
Sheet metal workers; Boilermakers; Structural metal and platework fabricators and fitters & Ironworkers,BALANCE
Welders and related Machine operators,SHORTAGE
Electricians (except industrial and power system),BALANCE
Industrial electricians & Power system electricians,BALANCE
Electrical power line and cable workers & Telecommunications line and cable workers,BALANCE
Telecommunications installation and repair workers & Cable television service and maintenance technicians,BALANCE
Plumbers,BALANCE
"Steamfitters, pipefitters and sprinkler system installers & Gas fitters",BALANCE
Carpenters,BALANCE
Cabinetmakers,BALANCE
Bricklayers,BALANCE
Concrete finishers & Tilesetters,BALANCE
"Plasterers, drywall installers and finishers and lathers",BALANCE
Roofers and shinglers,BALANCE
Glaziers & Insulators,SURPLUS
Painters and decorators (except interior decorators),BALANCE
Floor covering installers,BALANCE
"Contractors and supervisors, mechanic trades & Supervisors, printing and related occupations",BALANCE
"Contractors and supervisors, heavy equipment operator crews",BALANCE
"Supervisors, railway transport operations & Supervisors, motor transport and other ground transit operators",BALANCE
Construction millwrights and industrial mechanics,SHORTAGE
Heavy-duty equipment mechanics,SHORTAGE
"Heating, refrigeration and air conditioning mechanics; Machine fitters & Elevator constructors and mechanics",BALANCE
Railway carmen/women & Aircraft mechanics and aircraft inspectors,BALANCE
"Automotive service technicians, truck and bus mechanics and mechanical repairers",BALANCE
Motor vehicle body repairers,BALANCE
Other mechanics and related repairers,BALANCE
Train crew operating occupations,BALANCE
"Crane operators, drillers and blasters",BALANCE
"Printing press operators and other trades and related occupations, n.e.c.",BALANCE
Residential and commercial installers and servicers,BALANCE
"Waterworks and gas maintenance workers; Pest controllers and fumigators & Other installers, repairers and servicers",BALANCE
Longshore workers and material handlers,BALANCE
Transport truck drivers,BALANCE
"Bus drivers, subway operators and other transit operators",BALANCE
Taxi and limousine drivers and chauffeurs,BALANCE
Delivery and courier service drivers,BALANCE
Heavy equipment operators (except crane),BALANCE
Public works maintenance equipment operators and related workers,BALANCE
Other transport equipment operators and related maintenance workers,BALANCE
Trades helpers and labourers,BALANCE
"Public works and other labourers, n.e.c.",BALANCE
"Supervisors, logging and forestry",BALANCE
"Contractors and supervisors, mining, oil and gas",BALANCE
Underground production and development miners,BALANCE
"Oil and gas well drillers, servicers, testers and related workers",BALANCE
Logging Machinery operators,BALANCE
"Agricultural service contractors, farm supervisors and specialized livestock workers & Contractors and supervisors, landscaping, grounds maintenance and horticulture services",BALANCE
Fishing vessel masters and fishermen/women,SURPLUS
Mine service workers and operators in oil and gas drilling,BALANCE
Logging and forestry workers,BALANCE
General farm workers,BALANCE
Nursery and greenhouse workers,BALANCE
Other workers in fishing and trapping and hunting occupations,SURPLUS
Harvesting labourers; Aquaculture and marine harvest labourers & Logging and forestry labourers,BALANCE
Landscaping and grounds maintenance labourers,BALANCE
"Mine labourers & Oil and gas drilling, servicing and related labourers",BALANCE
"Supervisors, mineral and metal processing & Supervisors, petroleum, gas and chemical processing and utilities",BALANCE
"Supervisors, food and beverage processing",BALANCE
"Supervisors, plastic and rubber products manufacturing; Supervisors, forest products processing & Supervisors, textile, fabric, fur and leather products processing and manufacturing",BALANCE
"Supervisors, assembly and fabrication",BALANCE
Central control and process operators in processing and manufacturing,BALANCE
Utilities equipment operators and controllers,BALANCE
Machine operators and related workers in mineral and metal products processing and manufacturing,BALANCE
"Machine operators and related workers in chemical, plastic and rubber processing",BALANCE
Sawmill Machine operators; Other wood processing Machine operators; Lumber graders and other wood processing inspectors and graders & Woodworking Machine operators,BALANCE
Pulp mill Machine operators; Papermaking and finishing Machine operators & Paper converting Machine operators,BALANCE
"Textile fibre and yarn, hide and pelt processing Machine operators and workers; Weavers, knitters and other fabric making occupations; Fabric, fur and leather cutters & Inspectors and graders, textile, fabric, fur and leather products manufacturing",BALANCE
Industrial sewing Machine operators,BALANCE
"Process control and machine operators, food and beverage processing; Fish and seafood plant workers & Testers and graders, food and beverage processing",BALANCE
"Industrial butchers and meat cutters, poultry preparers and related workers",SHORTAGE
Fish and seafood plant workers,BALANCE
Printing equipment operators and related occupations,BALANCE
"Aircraft assemblers and aircraft assembly inspectors; Motor vehicle assemblers, inspectors and testers & Mechanical assemblers and inspectors",BALANCE
"Electronics assemblers, fabricators, inspectors and testers",BALANCE
"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing & Assemblers, fabricators and inspectors, industrial electrical motors and transformers",BALANCE
"Boat assemblers and inspectors; Plastic products assemblers, finishers and inspectors; Industrial painters, coaters and metal finishing process operators & Other products assemblers, finishers and inspectors",BALANCE
Furniture and fixture assemblers and inspectors;  Other wood products assemblers and inspectors & Furniture finishers and refinishers,BALANCE
in mineral and metal processing & Labourers in metal fabrication,BALANCE
Labourers in chemical products processing and utilities & Labourers in rubber and plastic products manufacturing,BALANCE
"Labourers in wood, pulp and paper processing",BALANCE
"Labourers in textile processing & Other labourers in processing, manufacturing and utilities",SURPLUS
Labourers in food and beverage processing & Labourers in fish and seafood processing,BALANCE
