"REF_DATE","GEO","DGUID","Level of study","Type of debt source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835568","1.2.2.1","45","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835569","1.2.2.2","32","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835570","1.2.2.3","19600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835571","1.2.2.4","21","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835572","1.2.2.5","16300","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835573","1.2.3.1","19","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835574","1.2.3.2","10","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835575","1.2.3.3","10800","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835576","1.2.3.4","38","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835577","1.2.3.5","10600","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835578","1.3.1.1","46","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835579","1.3.1.2","30","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835580","1.3.1.3","20300","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835581","1.3.1.4","27","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835582","1.3.1.5","17600","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835583","1.3.2.1","39","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835584","1.3.2.2","26","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835585","1.3.2.3","18300","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835586","1.3.2.4","27","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835587","1.3.2.5","16200","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835588","1.3.3.1","15","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835589","1.3.3.2","19","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835590","1.3.3.3","14200","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835591","1.3.3.4","39","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835592","1.3.3.5","14000","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835593","1.4.1.1","45","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835594","1.4.1.2","36","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835595","1.4.1.3","24600","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835596","1.4.1.4","27","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835597","1.4.1.5","21300","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835598","1.4.2.1","38","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835599","1.4.2.2","28","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835600","1.4.2.3","19100","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835601","1.4.2.4","27","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835602","1.4.2.5","16700","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835603","1.4.3.1","19","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835604","1.4.3.2","28","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835605","1.4.3.3","20400","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835606","1.4.3.4","33","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835607","1.4.3.5","19000","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835608","2.1.1.1","57","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835609","2.1.1.2","16","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835610","2.1.1.3","14600","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835611","2.1.1.4","8","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835612","2.1.1.5","13800","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835613","2.1.2.1","53","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835614","2.1.2.2","13","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835615","2.1.2.3","13900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835616","2.1.2.4","7","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835617","2.1.2.5","13400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835618","2.1.3.1","13","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835619","2.1.3.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835620","2.1.3.3","7200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835621","2.1.3.4","27","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835622","2.1.3.5","6800","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835623","2.2.1.1","78","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835624","2.2.1.2","67","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835625","2.2.1.3","31600","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835626","2.2.1.4","8","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835627","2.2.1.5","27700","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835628","2.2.2.1","75","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835629","2.2.2.2","68","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835630","2.2.2.3","29400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835631","2.2.2.4","8","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835632","2.2.2.5","25700","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835633","2.2.3.1","23","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835634","2.2.3.2","","F","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835635","2.2.3.3","11600","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835636","2.2.3.4","22","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835637","2.2.3.5","11100","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835638","2.3.1.1","41","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835639","2.3.1.2","24","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835640","2.3.1.3","18200","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835641","2.3.1.4","27","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835642","2.3.1.5","16400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835643","2.3.2.1","28","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835644","2.3.2.2","26","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835645","2.3.2.3","20400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835646","2.3.2.4","24","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835647","2.3.2.5","17500","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835648","2.3.3.1","21","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835649","2.3.3.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835650","2.3.3.3","9100","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835651","2.3.3.4","36","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Master's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835652","2.3.3.5","8400","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835653","2.4.1.1","32","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835654","2.4.1.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835655","2.4.1.3","31100","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835656","2.4.1.4","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835657","2.4.1.5","21800","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835658","2.4.2.1","28","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835659","2.4.2.2","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835660","2.4.2.3","32600","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835661","2.4.2.4","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835662","2.4.2.5","24000","E","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835663","2.4.3.1","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835664","2.4.3.2","","..","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835665","2.4.3.3","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835666","2.4.3.4","","x","","","0"
"2000","Newfoundland and Labrador","2016A000210","Doctorate","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835667","2.4.3.5","","x","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835668","3.1.1.1","57","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835669","3.1.1.2","6","E","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835670","3.1.1.3","10600","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835671","3.1.1.4","13","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835672","3.1.1.5","9200","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835673","3.1.2.1","46","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835674","3.1.2.2","6","E","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88835675","3.1.2.3","10800","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835676","3.1.2.4","10","E","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835677","3.1.2.5","9700","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835678","3.1.3.1","21","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835679","3.1.3.2","","..","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88835680","3.1.3.3","5100","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835681","3.1.3.4","38","","","","0"
"2000","Prince Edward Island","2016A000211","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835682","3.1.3.5","4700","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835683","3.2.1.1","66","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835684","3.2.1.2","40","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88835685","3.2.1.3","22900","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88835686","3.2.1.4","","F","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88835687","3.2.1.5","18300","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88835688","3.2.2.1","56","","","","0"
"2000","Prince Edward Island","2016A000211","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88835689","3.2.2.2","45","","","","0"
